lr_table,$,%,(,),*,+,-,/,;,<,=,>,[,],arithmetic_expression,array_statement,assignment,assignment_array,assignment_init,assignment_left,assignment_value,char,constant_expression,double,expression,external_declaration,identifier,int,number,operator,primary_expression,start,start1,statemen,statement,type,type_statement
67, , ,"('r', 21)","('r', 21)", , , , , , , , , , , , , , , , , , , , , , ,"('r', 21)", ,"('r', 21)", , , , , , , , 
68, ,"('r', 14)","('r', 14)", ,"('r', 14)","('r', 14)","('r', 14)","('r', 14)","('r', 14)","('r', 14)", ,"('r', 14)", , , , , , , , , , , , , , ,"('r', 14)", ,"('r', 14)", , , , , , , , 
69, , , , , , , , , , , , , ,"('s', 75)", , , , , , , , , , , , , , , , , , , , , , , 
70, ,"('s', 47)","('s', 25)", ,"('s', 49)","('s', 51)","('s', 53)","('s', 48)","('r', 25)","('s', 43)", ,"('s', 46)", , ,"('g', 76)", , , , , , , , , , , ,"('s', 29)", ,"('s', 26)","('g', 45)","('g', 52)", , , , , , 
71, , , , , , , , ,"('r', 23)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, ,"('r', 14)","('r', 14)","('r', 14)","('r', 14)","('r', 14)","('r', 14)","('r', 14)", ,"('r', 14)", ,"('r', 14)", , , , , , , , , , , , , , ,"('r', 14)", ,"('r', 14)", , , , , , , , 
73, , , ,"('r', 23)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, ,"('s', 57)","('s', 35)","('r', 25)","('s', 62)","('s', 60)","('s', 61)","('s', 58)", ,"('s', 66)", ,"('s', 67)", , ,"('g', 77)", , , , , , , , , , , ,"('s', 40)", ,"('s', 38)","('g', 65)","('g', 64)", , , , , , 
75, , , , , , , , ,"('r', 30)", , , ,"('s', 41)", , , , ,"('g', 78)", , , , , , , , , , , , , , , , , , , 
76, , , , , , , , ,"('r', 24)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , , ,"('r', 24)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , , , , , , ,"('r', 29)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
